Brasil e Grande Região;Trimestre;Nível de instrução;Variável - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Norte;2º trimestre 2023;Ensino fundamental completo ou equivalente;44
Norte;2º trimestre 2023;Ensino médio incompleto ou equivalente;70
Norte;2º trimestre 2023;Ensino médio completo ou equivalente;314
Norte;2º trimestre 2023;Ensino superior incompleto ou equivalente;59
Norte;2º trimestre 2023;Ensino superior completo ou equivalente;66
Norte;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Norte;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;109
Norte;3º trimestre 2023;Ensino fundamental completo ou equivalente;46
Norte;3º trimestre 2023;Ensino médio incompleto ou equivalente;77
Norte;3º trimestre 2023;Ensino médio completo ou equivalente;291
Norte;3º trimestre 2023;Ensino superior incompleto ou equivalente;48
Norte;3º trimestre 2023;Ensino superior completo ou equivalente;67
Norte;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;11
Norte;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;123
Norte;4º trimestre 2023;Ensino fundamental completo ou equivalente;51
Norte;4º trimestre 2023;Ensino médio incompleto ou equivalente;83
Norte;4º trimestre 2023;Ensino médio completo ou equivalente;271
Norte;4º trimestre 2023;Ensino superior incompleto ou equivalente;45
Norte;4º trimestre 2023;Ensino superior completo ou equivalente;72
Norte;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Norte;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;112
Norte;1º trimestre 2024;Ensino fundamental completo ou equivalente;46
Norte;1º trimestre 2024;Ensino médio incompleto ou equivalente;83
Norte;1º trimestre 2024;Ensino médio completo ou equivalente;315
Norte;1º trimestre 2024;Ensino superior incompleto ou equivalente;54
Norte;1º trimestre 2024;Ensino superior completo ou equivalente;70
Norte;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;8
Norte;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;88
Norte;2º trimestre 2024;Ensino fundamental completo ou equivalente;44
Norte;2º trimestre 2024;Ensino médio incompleto ou equivalente;70
Norte;2º trimestre 2024;Ensino médio completo ou equivalente;261
Norte;2º trimestre 2024;Ensino superior incompleto ou equivalente;44
Norte;2º trimestre 2024;Ensino superior completo ou equivalente;74
Norte;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Norte;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;99
Norte;3º trimestre 2024;Ensino fundamental completo ou equivalente;33
Norte;3º trimestre 2024;Ensino médio incompleto ou equivalente;70
Norte;3º trimestre 2024;Ensino médio completo ou equivalente;246
Norte;3º trimestre 2024;Ensino superior incompleto ou equivalente;43
Norte;3º trimestre 2024;Ensino superior completo ou equivalente;70
Norte;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;13
Norte;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;101
Norte;4º trimestre 2024;Ensino fundamental completo ou equivalente;39
Norte;4º trimestre 2024;Ensino médio incompleto ou equivalente;71
Norte;4º trimestre 2024;Ensino médio completo ou equivalente;270
Norte;4º trimestre 2024;Ensino superior incompleto ou equivalente;39
Norte;4º trimestre 2024;Ensino superior completo ou equivalente;64
Norte;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;9
Norte;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;120
Norte;1º trimestre 2025;Ensino fundamental completo ou equivalente;49
Norte;1º trimestre 2025;Ensino médio incompleto ou equivalente;61
Norte;1º trimestre 2025;Ensino médio completo ou equivalente;335
Norte;1º trimestre 2025;Ensino superior incompleto ou equivalente;48
Norte;1º trimestre 2025;Ensino superior completo ou equivalente;87
Norte;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;4
Norte;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;82
Norte;2º trimestre 2025;Ensino fundamental completo ou equivalente;37
Norte;2º trimestre 2025;Ensino médio incompleto ou equivalente;64
Norte;2º trimestre 2025;Ensino médio completo ou equivalente;266
Norte;2º trimestre 2025;Ensino superior incompleto ou equivalente;43
Norte;2º trimestre 2025;Ensino superior completo ou equivalente;70
Nordeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;87
Nordeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;661
Nordeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;215
Nordeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;333
Nordeste;1º trimestre 2023;Ensino médio completo ou equivalente;1296
Nordeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;163
Nordeste;1º trimestre 2023;Ensino superior completo ou equivalente;216
Nordeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;78
Nordeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;646
Nordeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;225
Nordeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;305
Nordeste;2º trimestre 2023;Ensino médio completo ou equivalente;1166
Nordeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;127
Nordeste;2º trimestre 2023;Ensino superior completo ou equivalente;207
Nordeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;79
Nordeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;608
Nordeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;225
Nordeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;307
Nordeste;3º trimestre 2023;Ensino médio completo ou equivalente;1094
Nordeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;160
Nordeste;3º trimestre 2023;Ensino superior completo ou equivalente;208
Nordeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;67
Nordeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;586
Nordeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;201
Nordeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;314
Nordeste;4º trimestre 2023;Ensino médio completo ou equivalente;1073
Nordeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;141
Nordeste;4º trimestre 2023;Ensino superior completo ou equivalente;200
Nordeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;66
Nordeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;559
Nordeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;194
Nordeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;326
Nordeste;1º trimestre 2024;Ensino médio completo ou equivalente;1221
Nordeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;146
Nordeste;1º trimestre 2024;Ensino superior completo ou equivalente;225
Nordeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;62
Nordeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;486
Nordeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;172
Nordeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;242
Nordeste;2º trimestre 2024;Ensino médio completo ou equivalente;1043
Nordeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;118
Nordeste;2º trimestre 2024;Ensino superior completo ou equivalente;204
Nordeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;61
Nordeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;444
Nordeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;149
Nordeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;266
Nordeste;3º trimestre 2024;Ensino médio completo ou equivalente;924
Nordeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;143
Nordeste;3º trimestre 2024;Ensino superior completo ou equivalente;192
Nordeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;60
Nordeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;485
Nordeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;152
Nordeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;240
Nordeste;4º trimestre 2024;Ensino médio completo ou equivalente;953
Nordeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;112
Nordeste;4º trimestre 2024;Ensino superior completo ou equivalente;191
Nordeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;50
Nordeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;474
Nordeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;166
Nordeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;248
Nordeste;1º trimestre 2025;Ensino médio completo ou equivalente;1135
Nordeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;148
Nordeste;1º trimestre 2025;Ensino superior completo ou equivalente;240
Nordeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;30
Nordeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;410
Nordeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;147
Nordeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;212
Nordeste;2º trimestre 2025;Ensino médio completo ou equivalente;967
Nordeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;116
Nordeste;2º trimestre 2025;Ensino superior completo ou equivalente;189
Sudeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;35
Sudeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;638
Sudeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;333
Sudeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;552
Sudeste;1º trimestre 2023;Ensino médio completo ou equivalente;1706
Sudeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;266
Sudeste;1º trimestre 2023;Ensino superior completo ou equivalente;542
Sudeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;32
Sudeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;549
Sudeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;310
Sudeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;498
Sudeste;2º trimestre 2023;Ensino médio completo ou equivalente;1650
Sudeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;263
Sudeste;2º trimestre 2023;Ensino superior completo ou equivalente;446
Sudeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;44
Sudeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;532
Sudeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;330
Sudeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;476
Sudeste;3º trimestre 2023;Ensino médio completo ou equivalente;1534
Sudeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;251
Sudeste;3º trimestre 2023;Ensino superior completo ou equivalente;395
Sudeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;36
Sudeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;561
Sudeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;318
Sudeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;437
Sudeste;4º trimestre 2023;Ensino médio completo ou equivalente;1408
Sudeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;215
Sudeste;4º trimestre 2023;Ensino superior completo ou equivalente;427
Sudeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;37
Sudeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;549
Sudeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;306
Sudeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;447
Sudeste;1º trimestre 2024;Ensino médio completo ou equivalente;1513
Sudeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;278
Sudeste;1º trimestre 2024;Ensino superior completo ou equivalente;507
Sudeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;27
Sudeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;473
Sudeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;254
Sudeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;383
Sudeste;2º trimestre 2024;Ensino médio completo ou equivalente;1414
Sudeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;212
Sudeste;2º trimestre 2024;Ensino superior completo ou equivalente;428
Sudeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;36
Sudeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;422
Sudeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;278
Sudeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;341
Sudeste;3º trimestre 2024;Ensino médio completo ou equivalente;1292
Sudeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;207
Sudeste;3º trimestre 2024;Ensino superior completo ou equivalente;383
Sudeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;34
Sudeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;418
Sudeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;244
Sudeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;317
Sudeste;4º trimestre 2024;Ensino médio completo ou equivalente;1210
Sudeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;200
Sudeste;4º trimestre 2024;Ensino superior completo ou equivalente;410
Sudeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;32
Sudeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;410
Sudeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;227
Sudeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;330
Sudeste;1º trimestre 2025;Ensino médio completo ou equivalente;1444
Sudeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;251
Sudeste;1º trimestre 2025;Ensino superior completo ou equivalente;483
Sudeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;17
Sudeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;333
Sudeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;179
Sudeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;273
Sudeste;2º trimestre 2025;Ensino médio completo ou equivalente;1175
Sudeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;185
Sudeste;2º trimestre 2025;Ensino superior completo ou equivalente;416
Sul;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Sul;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;141
Sul;1º trimestre 2023;Ensino fundamental completo ou equivalente;107
Sul;1º trimestre 2023;Ensino médio incompleto ou equivalente;123
Sul;1º trimestre 2023;Ensino médio completo ou equivalente;287
Sul;1º trimestre 2023;Ensino superior incompleto ou equivalente;64
Sul;1º trimestre 2023;Ensino superior completo ou equivalente;93
Sul;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Sul;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;130
Sul;2º trimestre 2023;Ensino fundamental completo ou equivalente;96
Sul;2º trimestre 2023;Ensino médio incompleto ou equivalente;124
Sul;2º trimestre 2023;Ensino médio completo ou equivalente;273
Sul;2º trimestre 2023;Ensino superior incompleto ou equivalente;56
Sul;2º trimestre 2023;Ensino superior completo ou equivalente;88
Sul;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Sul;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;131
Sul;3º trimestre 2023;Ensino fundamental completo ou equivalente;94
Sul;3º trimestre 2023;Ensino médio incompleto ou equivalente;125
Sul;3º trimestre 2023;Ensino médio completo ou equivalente;264
Sul;3º trimestre 2023;Ensino superior incompleto ou equivalente;61
Sul;3º trimestre 2023;Ensino superior completo ou equivalente;84
Sul;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;12
Sul;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;133
Sul;4º trimestre 2023;Ensino fundamental completo ou equivalente;100
Sul;4º trimestre 2023;Ensino médio incompleto ou equivalente;121
Sul;4º trimestre 2023;Ensino médio completo ou equivalente;248
Sul;4º trimestre 2023;Ensino superior incompleto ou equivalente;55
Sul;4º trimestre 2023;Ensino superior completo ou equivalente;87
Sul;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;13
Sul;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;143
Sul;1º trimestre 2024;Ensino fundamental completo ou equivalente;100
Sul;1º trimestre 2024;Ensino médio incompleto ou equivalente;132
Sul;1º trimestre 2024;Ensino médio completo ou equivalente;264
Sul;1º trimestre 2024;Ensino superior incompleto ou equivalente;81
Sul;1º trimestre 2024;Ensino superior completo ou equivalente;99
Sul;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;14
Sul;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;134
Sul;2º trimestre 2024;Ensino fundamental completo ou equivalente;97
Sul;2º trimestre 2024;Ensino médio incompleto ou equivalente;118
Sul;2º trimestre 2024;Ensino médio completo ou equivalente;255
Sul;2º trimestre 2024;Ensino superior incompleto ou equivalente;63
Sul;2º trimestre 2024;Ensino superior completo ou equivalente;100
Sul;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;12
Sul;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;117
Sul;3º trimestre 2024;Ensino fundamental completo ou equivalente;91
Sul;3º trimestre 2024;Ensino médio incompleto ou equivalente;104
Sul;3º trimestre 2024;Ensino médio completo ou equivalente;230
Sul;3º trimestre 2024;Ensino superior incompleto ou equivalente;52
Sul;3º trimestre 2024;Ensino superior completo ou equivalente;85
Sul;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Sul;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;116
Sul;4º trimestre 2024;Ensino fundamental completo ou equivalente;62
Sul;4º trimestre 2024;Ensino médio incompleto ou equivalente;93
Sul;4º trimestre 2024;Ensino médio completo ou equivalente;193
Sul;4º trimestre 2024;Ensino superior incompleto ou equivalente;48
Sul;4º trimestre 2024;Ensino superior completo ou equivalente;87
Sul;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;7
Sul;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;126
Sul;1º trimestre 2025;Ensino fundamental completo ou equivalente;74
Sul;1º trimestre 2025;Ensino médio incompleto ou equivalente;104
Sul;1º trimestre 2025;Ensino médio completo ou equivalente;250
Sul;1º trimestre 2025;Ensino superior incompleto ou equivalente;61
Sul;1º trimestre 2025;Ensino superior completo ou equivalente;100
Sul;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;7
Sul;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;103
Sul;2º trimestre 2025;Ensino fundamental completo ou equivalente;64
Sul;2º trimestre 2025;Ensino médio incompleto ou equivalente;84
Sul;2º trimestre 2025;Ensino médio completo ou equivalente;223
Sul;2º trimestre 2025;Ensino superior incompleto ou equivalente;41
Sul;2º trimestre 2025;Ensino superior completo ou equivalente;89
Centro-Oeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;7
Centro-Oeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;116
Centro-Oeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;51
Centro-Oeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;89
Centro-Oeste;1º trimestre 2023;Ensino médio completo ou equivalente;206
Centro-Oeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;63
Centro-Oeste;1º trimestre 2023;Ensino superior completo ou equivalente;98
Centro-Oeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;74
Centro-Oeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;45
Centro-Oeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;63
