Brasil e Grande Região;Trimestre;Nível de instrução;Variável - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Centro-Oeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;45
Centro-Oeste;3º trimestre 2024;Ensino superior completo ou equivalente;61
Centro-Oeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;7
Centro-Oeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;76
Centro-Oeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;42
Centro-Oeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;62
Centro-Oeste;4º trimestre 2024;Ensino médio completo ou equivalente;160
Centro-Oeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;39
Centro-Oeste;4º trimestre 2024;Ensino superior completo ou equivalente;67
Centro-Oeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;75
Centro-Oeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;41
Centro-Oeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;63
Centro-Oeste;1º trimestre 2025;Ensino médio completo ou equivalente;190
Centro-Oeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;38
Centro-Oeste;1º trimestre 2025;Ensino superior completo ou equivalente;83
Centro-Oeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;2
Centro-Oeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;57
Centro-Oeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;30
Centro-Oeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;58
Centro-Oeste;2º trimestre 2025;Ensino médio completo ou equivalente;169
Centro-Oeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;36
Centro-Oeste;2º trimestre 2025;Ensino superior completo ou equivalente;75
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
