Brasil e Grande Região;Trimestre;Nível de instrução;Variável - População (Mil pessoas)
Norte;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;6121
Norte;3º trimestre 2022;Ensino fundamental completo ou equivalente;1159
Norte;3º trimestre 2022;Ensino médio incompleto ou equivalente;1346
Norte;3º trimestre 2022;Ensino médio completo ou equivalente;4061
Norte;3º trimestre 2022;Ensino superior incompleto ou equivalente;724
Norte;3º trimestre 2022;Ensino superior completo ou equivalente;1743
Norte;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;1512
Norte;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;6066
Norte;4º trimestre 2022;Ensino fundamental completo ou equivalente;1157
Norte;4º trimestre 2022;Ensino médio incompleto ou equivalente;1354
Norte;4º trimestre 2022;Ensino médio completo ou equivalente;4148
Norte;4º trimestre 2022;Ensino superior incompleto ou equivalente;695
Norte;4º trimestre 2022;Ensino superior completo ou equivalente;1750
Norte;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1439
Norte;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;5978
Norte;1º trimestre 2023;Ensino fundamental completo ou equivalente;1190
Norte;1º trimestre 2023;Ensino médio incompleto ou equivalente;1369
Norte;1º trimestre 2023;Ensino médio completo ou equivalente;4254
Norte;1º trimestre 2023;Ensino superior incompleto ou equivalente;693
Norte;1º trimestre 2023;Ensino superior completo ou equivalente;1759
Norte;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1441
Norte;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;5989
Norte;2º trimestre 2023;Ensino fundamental completo ou equivalente;1172
Norte;2º trimestre 2023;Ensino médio incompleto ou equivalente;1351
Norte;2º trimestre 2023;Ensino médio completo ou equivalente;4329
Norte;2º trimestre 2023;Ensino superior incompleto ou equivalente;704
Norte;2º trimestre 2023;Ensino superior completo ou equivalente;1741
Norte;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1523
Norte;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;5946
Norte;3º trimestre 2023;Ensino fundamental completo ou equivalente;1135
Norte;3º trimestre 2023;Ensino médio incompleto ou equivalente;1306
Norte;3º trimestre 2023;Ensino médio completo ou equivalente;4376
Norte;3º trimestre 2023;Ensino superior incompleto ou equivalente;724
Norte;3º trimestre 2023;Ensino superior completo ou equivalente;1792
Norte;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1553
Norte;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;5895
Norte;4º trimestre 2023;Ensino fundamental completo ou equivalente;1144
Norte;4º trimestre 2023;Ensino médio incompleto ou equivalente;1311
Norte;4º trimestre 2023;Ensino médio completo ou equivalente;4398
Norte;4º trimestre 2023;Ensino superior incompleto ou equivalente;714
Norte;4º trimestre 2023;Ensino superior completo ou equivalente;1827
Norte;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;1401
Norte;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;5880
Norte;1º trimestre 2024;Ensino fundamental completo ou equivalente;1182
Norte;1º trimestre 2024;Ensino médio incompleto ou equivalente;1344
Norte;1º trimestre 2024;Ensino médio completo ou equivalente;4473
Norte;1º trimestre 2024;Ensino superior incompleto ou equivalente;773
Norte;1º trimestre 2024;Ensino superior completo ou equivalente;1850
Norte;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;1437
Norte;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;5796
Norte;2º trimestre 2024;Ensino fundamental completo ou equivalente;1195
Norte;2º trimestre 2024;Ensino médio incompleto ou equivalente;1340
Norte;2º trimestre 2024;Ensino médio completo ou equivalente;4544
Norte;2º trimestre 2024;Ensino superior incompleto ou equivalente;779
Norte;2º trimestre 2024;Ensino superior completo ou equivalente;1857
Norte;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;1456
Norte;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;5826
Norte;3º trimestre 2024;Ensino fundamental completo ou equivalente;1177
Norte;3º trimestre 2024;Ensino médio incompleto ou equivalente;1341
Norte;3º trimestre 2024;Ensino médio completo ou equivalente;4508
Norte;3º trimestre 2024;Ensino superior incompleto ou equivalente;761
Norte;3º trimestre 2024;Ensino superior completo ou equivalente;1916
Norte;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;1478
Norte;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;5719
Norte;4º trimestre 2024;Ensino fundamental completo ou equivalente;1130
Norte;4º trimestre 2024;Ensino médio incompleto ou equivalente;1349
Norte;4º trimestre 2024;Ensino médio completo ou equivalente;4696
Norte;4º trimestre 2024;Ensino superior incompleto ou equivalente;702
Norte;4º trimestre 2024;Ensino superior completo ou equivalente;1910
Norte;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;1329
Norte;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;5734
Norte;1º trimestre 2025;Ensino fundamental completo ou equivalente;1170
Norte;1º trimestre 2025;Ensino médio incompleto ou equivalente;1348
Norte;1º trimestre 2025;Ensino médio completo ou equivalente;4815
Norte;1º trimestre 2025;Ensino superior incompleto ou equivalente;721
Norte;1º trimestre 2025;Ensino superior completo ou equivalente;1927
Norte;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;1392
Norte;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;5702
Norte;2º trimestre 2025;Ensino fundamental completo ou equivalente;1186
Norte;2º trimestre 2025;Ensino médio incompleto ou equivalente;1375
Norte;2º trimestre 2025;Ensino médio completo ou equivalente;4728
Norte;2º trimestre 2025;Ensino superior incompleto ou equivalente;777
Norte;2º trimestre 2025;Ensino superior completo ou equivalente;1924
Norte;3º trimestre 2025;Sem instrução e menos de 1 ano de estudo;1453
Norte;3º trimestre 2025;Ensino fundamental incompleto ou equivalente;5680
Norte;3º trimestre 2025;Ensino fundamental completo ou equivalente;1137
Norte;3º trimestre 2025;Ensino médio incompleto ou equivalente;1372
Norte;3º trimestre 2025;Ensino médio completo ou equivalente;4705
Norte;3º trimestre 2025;Ensino superior incompleto ou equivalente;789
Norte;3º trimestre 2025;Ensino superior completo ou equivalente;1974
Nordeste;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;6177
Nordeste;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;22129
Nordeste;1º trimestre 2015;Ensino fundamental completo ou equivalente;4313
Nordeste;1º trimestre 2015;Ensino médio incompleto ou equivalente;3264
Nordeste;1º trimestre 2015;Ensino médio completo ou equivalente;10136
Nordeste;1º trimestre 2015;Ensino superior incompleto ou equivalente;1577
Nordeste;1º trimestre 2015;Ensino superior completo ou equivalente;3060
Nordeste;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;6299
Nordeste;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;22075
Nordeste;2º trimestre 2015;Ensino fundamental completo ou equivalente;4001
Nordeste;2º trimestre 2015;Ensino médio incompleto ou equivalente;3380
Nordeste;2º trimestre 2015;Ensino médio completo ou equivalente;10217
Nordeste;2º trimestre 2015;Ensino superior incompleto ou equivalente;1602
Nordeste;2º trimestre 2015;Ensino superior completo ou equivalente;3164
Nordeste;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;6477
Nordeste;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;21810
Nordeste;3º trimestre 2015;Ensino fundamental completo ou equivalente;4054
Nordeste;3º trimestre 2015;Ensino médio incompleto ou equivalente;3331
Nordeste;3º trimestre 2015;Ensino médio completo ou equivalente;10225
Nordeste;3º trimestre 2015;Ensino superior incompleto ou equivalente;1663
Nordeste;3º trimestre 2015;Ensino superior completo ou equivalente;3233
Nordeste;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;7017
Nordeste;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;21576
Nordeste;4º trimestre 2015;Ensino fundamental completo ou equivalente;3687
Nordeste;4º trimestre 2015;Ensino médio incompleto ou equivalente;3342
Nordeste;4º trimestre 2015;Ensino médio completo ou equivalente;10409
Nordeste;4º trimestre 2015;Ensino superior incompleto ou equivalente;1582
Nordeste;4º trimestre 2015;Ensino superior completo ou equivalente;3254
Nordeste;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;6262
Nordeste;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;21663
Nordeste;1º trimestre 2016;Ensino fundamental completo ou equivalente;3837
Nordeste;1º trimestre 2016;Ensino médio incompleto ou equivalente;3567
Nordeste;1º trimestre 2016;Ensino médio completo ou equivalente;10692
Nordeste;1º trimestre 2016;Ensino superior incompleto ou equivalente;1575
Nordeste;1º trimestre 2016;Ensino superior completo ou equivalente;3333
Nordeste;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;6634
Nordeste;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;21597
Nordeste;2º trimestre 2016;Ensino fundamental completo ou equivalente;3753
Nordeste;2º trimestre 2016;Ensino médio incompleto ou equivalente;3586
Nordeste;2º trimestre 2016;Ensino médio completo ou equivalente;10519
Nordeste;2º trimestre 2016;Ensino superior incompleto ou equivalente;1627
Nordeste;2º trimestre 2016;Ensino superior completo ou equivalente;3309
Nordeste;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;6851
Nordeste;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;21562
Nordeste;3º trimestre 2016;Ensino fundamental completo ou equivalente;3713
Nordeste;3º trimestre 2016;Ensino médio incompleto ou equivalente;3589
Nordeste;3º trimestre 2016;Ensino médio completo ou equivalente;10593
Nordeste;3º trimestre 2016;Ensino superior incompleto ou equivalente;1598
Nordeste;3º trimestre 2016;Ensino superior completo ou equivalente;3279
Nordeste;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;6938
Nordeste;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;21524
Nordeste;4º trimestre 2016;Ensino fundamental completo ou equivalente;3679
Nordeste;4º trimestre 2016;Ensino médio incompleto ou equivalente;3636
Nordeste;4º trimestre 2016;Ensino médio completo ou equivalente;10607
Nordeste;4º trimestre 2016;Ensino superior incompleto ou equivalente;1604
Nordeste;4º trimestre 2016;Ensino superior completo ou equivalente;3338
Nordeste;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;6376
Nordeste;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;21523
Nordeste;1º trimestre 2017;Ensino fundamental completo ou equivalente;3865
Nordeste;1º trimestre 2017;Ensino médio incompleto ou equivalente;3591
Nordeste;1º trimestre 2017;Ensino médio completo ou equivalente;10956
Nordeste;1º trimestre 2017;Ensino superior incompleto ou equivalente;1612
Nordeste;1º trimestre 2017;Ensino superior completo ou equivalente;3473
Nordeste;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;6373
Nordeste;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;21623
Nordeste;2º trimestre 2017;Ensino fundamental completo ou equivalente;3688
Nordeste;2º trimestre 2017;Ensino médio incompleto ou equivalente;3679
Nordeste;2º trimestre 2017;Ensino médio completo ou equivalente;10954
Nordeste;2º trimestre 2017;Ensino superior incompleto ou equivalente;1613
Nordeste;2º trimestre 2017;Ensino superior completo ou equivalente;3496
Nordeste;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;6476
Nordeste;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;21482
Nordeste;3º trimestre 2017;Ensino fundamental completo ou equivalente;3671
Nordeste;3º trimestre 2017;Ensino médio incompleto ou equivalente;3648
Nordeste;3º trimestre 2017;Ensino médio completo ou equivalente;10999
Nordeste;3º trimestre 2017;Ensino superior incompleto ou equivalente;1663
Nordeste;3º trimestre 2017;Ensino superior completo ou equivalente;3571
Nordeste;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;6495
Nordeste;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;21336
Nordeste;4º trimestre 2017;Ensino fundamental completo ou equivalente;3688
Nordeste;4º trimestre 2017;Ensino médio incompleto ou equivalente;3562
Nordeste;4º trimestre 2017;Ensino médio completo ou equivalente;11129
Nordeste;4º trimestre 2017;Ensino superior incompleto ou equivalente;1655
Nordeste;4º trimestre 2017;Ensino superior completo ou equivalente;3694
Nordeste;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;6031
Nordeste;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;21299
Nordeste;1º trimestre 2018;Ensino fundamental completo ou equivalente;3694
Nordeste;1º trimestre 2018;Ensino médio incompleto ou equivalente;3578
Nordeste;1º trimestre 2018;Ensino médio completo ou equivalente;11405
Nordeste;1º trimestre 2018;Ensino superior incompleto ou equivalente;1820
Nordeste;1º trimestre 2018;Ensino superior completo ou equivalente;3804
Nordeste;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;6127
Nordeste;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;21302
Nordeste;2º trimestre 2018;Ensino fundamental completo ou equivalente;3616
Nordeste;2º trimestre 2018;Ensino médio incompleto ou equivalente;3659
Nordeste;2º trimestre 2018;Ensino médio completo ou equivalente;11211
Nordeste;2º trimestre 2018;Ensino superior incompleto ou equivalente;1888
Nordeste;2º trimestre 2018;Ensino superior completo ou equivalente;3900
Nordeste;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;6060
Nordeste;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;21329
Nordeste;3º trimestre 2018;Ensino fundamental completo ou equivalente;3591
Nordeste;3º trimestre 2018;Ensino médio incompleto ou equivalente;3657
Nordeste;3º trimestre 2018;Ensino médio completo ou equivalente;11226
Nordeste;3º trimestre 2018;Ensino superior incompleto ou equivalente;1876
Nordeste;3º trimestre 2018;Ensino superior completo ou equivalente;4029
Nordeste;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;6108
Nordeste;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;21236
Nordeste;4º trimestre 2018;Ensino fundamental completo ou equivalente;3520
Nordeste;4º trimestre 2018;Ensino médio incompleto ou equivalente;3607
Nordeste;4º trimestre 2018;Ensino médio completo ou equivalente;11312
Nordeste;4º trimestre 2018;Ensino superior incompleto ou equivalente;1839
Nordeste;4º trimestre 2018;Ensino superior completo ou equivalente;4136
Nordeste;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;5759
Nordeste;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;21034
Nordeste;1º trimestre 2019;Ensino fundamental completo ou equivalente;3636
Nordeste;1º trimestre 2019;Ensino médio incompleto ou equivalente;3650
Nordeste;1º trimestre 2019;Ensino médio completo ou equivalente;11710
Nordeste;1º trimestre 2019;Ensino superior incompleto ou equivalente;1851
Nordeste;1º trimestre 2019;Ensino superior completo ou equivalente;4183
Nordeste;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;5908
Nordeste;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;21099
Nordeste;2º trimestre 2019;Ensino fundamental completo ou equivalente;3621
Nordeste;2º trimestre 2019;Ensino médio incompleto ou equivalente;3696
Nordeste;2º trimestre 2019;Ensino médio completo ou equivalente;11486
Nordeste;2º trimestre 2019;Ensino superior incompleto ou equivalente;1864
Nordeste;2º trimestre 2019;Ensino superior completo ou equivalente;4244
Nordeste;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;6032
Nordeste;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;21086
Nordeste;3º trimestre 2019;Ensino fundamental completo ou equivalente;3586
Nordeste;3º trimestre 2019;Ensino médio incompleto ou equivalente;3688
Nordeste;3º trimestre 2019;Ensino médio completo ou equivalente;11559
Nordeste;3º trimestre 2019;Ensino superior incompleto ou equivalente;1809
Nordeste;3º trimestre 2019;Ensino superior completo ou equivalente;4242
Nordeste;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;6171
Nordeste;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;20909
Nordeste;4º trimestre 2019;Ensino fundamental completo ou equivalente;3450
Nordeste;4º trimestre 2019;Ensino médio incompleto ou equivalente;3652
Nordeste;4º trimestre 2019;Ensino médio completo ou equivalente;11702
Nordeste;4º trimestre 2019;Ensino superior incompleto ou equivalente;1853
Nordeste;4º trimestre 2019;Ensino superior completo ou equivalente;4319
Nordeste;1º trimestre 2020;Sem instrução e menos de 1 ano de estudo;5626
Nordeste;1º trimestre 2020;Ensino fundamental incompleto ou equivalente;20425
Nordeste;1º trimestre 2020;Ensino fundamental completo ou equivalente;3581
Nordeste;1º trimestre 2020;Ensino médio incompleto ou equivalente;3670
Nordeste;1º trimestre 2020;Ensino médio completo ou equivalente;12345
Nordeste;1º trimestre 2020;Ensino superior incompleto ou equivalente;1944
Nordeste;1º trimestre 2020;Ensino superior completo ou equivalente;4515
Nordeste;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;6098
Nordeste;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;19453
Nordeste;2º trimestre 2022;Ensino fundamental completo ou equivalente;3647
Nordeste;2º trimestre 2022;Ensino médio incompleto ou equivalente;3966
Nordeste;2º trimestre 2022;Ensino médio completo ou equivalente;13048
Nordeste;2º trimestre 2022;Ensino superior incompleto ou equivalente;1798
Nordeste;2º trimestre 2022;Ensino superior completo ou equivalente;4610
Nordeste;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;6329
Nordeste;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;19402
Nordeste;3º trimestre 2022;Ensino fundamental completo ou equivalente;3544
Nordeste;3º trimestre 2022;Ensino médio incompleto ou equivalente;3940
Nordeste;3º trimestre 2022;Ensino médio completo ou equivalente;13019
Nordeste;3º trimestre 2022;Ensino superior incompleto ou equivalente;1847
Nordeste;3º trimestre 2022;Ensino superior completo ou equivalente;4721
Nordeste;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;6363
Nordeste;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;19337
Nordeste;4º trimestre 2022;Ensino fundamental completo ou equivalente;3492
Nordeste;4º trimestre 2022;Ensino médio incompleto ou equivalente;3972
Nordeste;4º trimestre 2022;Ensino médio completo ou equivalente;12929
Nordeste;4º trimestre 2022;Ensino superior incompleto ou equivalente;1803
Nordeste;4º trimestre 2022;Ensino superior completo ou equivalente;4957
Nordeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6084
Nordeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;19100
Nordeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;3596
Nordeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;4002
Nordeste;1º trimestre 2023;Ensino médio completo ou equivalente;13302
Nordeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;1870
Nordeste;1º trimestre 2023;Ensino superior completo ou equivalente;4944
Nordeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6144
Nordeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;19090
Nordeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;3609
Nordeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;3893
Nordeste;2º trimestre 2023;Ensino médio completo ou equivalente;13439
Nordeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;1896
Nordeste;2º trimestre 2023;Ensino superior completo ou equivalente;4916
Nordeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6225
Nordeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;18920
Nordeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;3590
Nordeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;3879
Nordeste;3º trimestre 2023;Ensino médio completo ou equivalente;13514
Nordeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;1917
Nordeste;3º trimestre 2023;Ensino superior completo ou equivalente;5042
Nordeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6204
Nordeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;18912
Nordeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;3550
Nordeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;3872
Nordeste;4º trimestre 2023;Ensino médio completo ou equivalente;13548
Nordeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;1907
Nordeste;4º trimestre 2023;Ensino superior completo ou equivalente;5103
Nordeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5726
Nordeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;18882
Nordeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;3628
Nordeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;4011
Nordeste;1º trimestre 2024;Ensino médio completo ou equivalente;13748
Nordeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;1948
Nordeste;1º trimestre 2024;Ensino superior completo ou equivalente;5198
Nordeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5801
Nordeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;18763
Nordeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;3660
Nordeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;4020
Nordeste;2º trimestre 2024;Ensino médio completo ou equivalente;13721
Nordeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;1964
Nordeste;2º trimestre 2024;Ensino superior completo ou equivalente;5310
Nordeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5870
Nordeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;18879
Nordeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;3553
Nordeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;4085
Nordeste;3º trimestre 2024;Ensino médio completo ou equivalente;13685
Nordeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;1945
Nordeste;3º trimestre 2024;Ensino superior completo ou equivalente;5311
Nordeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5621
Nordeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;18891
Nordeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;3456
Nordeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;3937
Nordeste;4º trimestre 2024;Ensino médio completo ou equivalente;14216
Nordeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;1827
Nordeste;4º trimestre 2024;Ensino superior completo ou equivalente;5425
Nordeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;5218
Nordeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;18728
Nordeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;3511
Nordeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;3966
Nordeste;1º trimestre 2025;Ensino médio completo ou equivalente;14658
Nordeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;1929
Nordeste;1º trimestre 2025;Ensino superior completo ou equivalente;5494
Nordeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;5255
Nordeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;18993
Nordeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;3527
Nordeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;3999
Nordeste;2º trimestre 2025;Ensino médio completo ou equivalente;14245
Nordeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;2037
Nordeste;2º trimestre 2025;Ensino superior completo ou equivalente;5560
Nordeste;3º trimestre 2025;Sem instrução e menos de 1 ano de estudo;5382
Nordeste;3º trimestre 2025;Ensino fundamental incompleto ou equivalente;18786
Nordeste;3º trimestre 2025;Ensino fundamental completo ou equivalente;3420
Nordeste;3º trimestre 2025;Ensino médio incompleto ou equivalente;3909
Nordeste;3º trimestre 2025;Ensino médio completo ou equivalente;14426
Nordeste;3º trimestre 2025;Ensino superior incompleto ou equivalente;2065
Nordeste;3º trimestre 2025;Ensino superior completo ou equivalente;5616
Sudeste;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;4649
Sudeste;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;27573
Sudeste;1º trimestre 2015;Ensino fundamental completo ou equivalente;8184
Sudeste;1º trimestre 2015;Ensino médio incompleto ou equivalente;5267
Sudeste;1º trimestre 2015;Ensino médio completo ou equivalente;20404
Sudeste;1º trimestre 2015;Ensino superior incompleto ou equivalente;3650
Sudeste;1º trimestre 2015;Ensino superior completo ou equivalente;10029
Sudeste;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;4614
Sudeste;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;27643
Sudeste;2º trimestre 2015;Ensino fundamental completo ou equivalente;8227
Sudeste;2º trimestre 2015;Ensino médio incompleto ou equivalente;5392
Sudeste;2º trimestre 2015;Ensino médio completo ou equivalente;20141
Sudeste;2º trimestre 2015;Ensino superior incompleto ou equivalente;3675
Sudeste;2º trimestre 2015;Ensino superior completo ou equivalente;10213
Sudeste;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;4855
Sudeste;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;27489
Sudeste;3º trimestre 2015;Ensino fundamental completo ou equivalente;8065
Sudeste;3º trimestre 2015;Ensino médio incompleto ou equivalente;5276
Sudeste;3º trimestre 2015;Ensino médio completo ou equivalente;20155
Sudeste;3º trimestre 2015;Ensino superior incompleto ou equivalente;3712
Sudeste;3º trimestre 2015;Ensino superior completo ou equivalente;10441
Sudeste;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;5134
Sudeste;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;27384
Sudeste;4º trimestre 2015;Ensino fundamental completo ou equivalente;7673
Sudeste;4º trimestre 2015;Ensino médio incompleto ou equivalente;5102
Sudeste;4º trimestre 2015;Ensino médio completo ou equivalente;20832
Sudeste;4º trimestre 2015;Ensino superior incompleto ou equivalente;3439
Sudeste;4º trimestre 2015;Ensino superior completo ou equivalente;10529
Sudeste;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;4427
Sudeste;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;26937
Sudeste;1º trimestre 2016;Ensino fundamental completo ou equivalente;7921
Sudeste;1º trimestre 2016;Ensino médio incompleto ou equivalente;5183
Sudeste;1º trimestre 2016;Ensino médio completo ou equivalente;21155
Sudeste;1º trimestre 2016;Ensino superior incompleto ou equivalente;3664
Sudeste;1º trimestre 2016;Ensino superior completo ou equivalente;10885
Sudeste;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;4773
Sudeste;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;27008
Sudeste;2º trimestre 2016;Ensino fundamental completo ou equivalente;7800
Sudeste;2º trimestre 2016;Ensino médio incompleto ou equivalente;5193
Sudeste;2º trimestre 2016;Ensino médio completo ou equivalente;21062
Sudeste;2º trimestre 2016;Ensino superior incompleto ou equivalente;3696
Sudeste;2º trimestre 2016;Ensino superior completo ou equivalente;10767
Sudeste;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;4806
Sudeste;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;26765
Sudeste;3º trimestre 2016;Ensino fundamental completo ou equivalente;7476
Sudeste;3º trimestre 2016;Ensino médio incompleto ou equivalente;5352
Sudeste;3º trimestre 2016;Ensino médio completo ou equivalente;21362
Sudeste;3º trimestre 2016;Ensino superior incompleto ou equivalente;3571
Sudeste;3º trimestre 2016;Ensino superior completo ou equivalente;10945
Sudeste;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;4934
Sudeste;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;26605
Sudeste;4º trimestre 2016;Ensino fundamental completo ou equivalente;7576
Sudeste;4º trimestre 2016;Ensino médio incompleto ou equivalente;5364
Sudeste;4º trimestre 2016;Ensino médio completo ou equivalente;21365
Sudeste;4º trimestre 2016;Ensino superior incompleto ou equivalente;3509
Sudeste;4º trimestre 2016;Ensino superior completo ou equivalente;11024
