Brasil e Grande Região;Trimestre;Nível de instrução;Variável - População (Mil pessoas)
Brasil;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;70367
Brasil;4º trimestre 2017;Ensino fundamental completo ou equivalente;15787
Brasil;4º trimestre 2017;Ensino médio incompleto ou equivalente;13315
Brasil;4º trimestre 2017;Ensino médio completo ou equivalente;45570
Brasil;4º trimestre 2017;Ensino superior incompleto ou equivalente;8349
Brasil;4º trimestre 2017;Ensino superior completo ou equivalente;21543
Brasil;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14147
Brasil;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;70116
Brasil;1º trimestre 2018;Ensino fundamental completo ou equivalente;15601
Brasil;1º trimestre 2018;Ensino médio incompleto ou equivalente;13423
Brasil;1º trimestre 2018;Ensino médio completo ou equivalente;46561
Brasil;1º trimestre 2018;Ensino superior incompleto ou equivalente;8799
Brasil;1º trimestre 2018;Ensino superior completo ou equivalente;22079
Brasil;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14582
Brasil;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;70001
Brasil;2º trimestre 2018;Ensino fundamental completo ou equivalente;15416
Brasil;2º trimestre 2018;Ensino médio incompleto ou equivalente;13597
Brasil;2º trimestre 2018;Ensino médio completo ou equivalente;46155
Brasil;2º trimestre 2018;Ensino superior incompleto ou equivalente;9028
Brasil;2º trimestre 2018;Ensino superior completo ou equivalente;22250
Brasil;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14662
Brasil;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;69745
Brasil;3º trimestre 2018;Ensino fundamental completo ou equivalente;15274
Brasil;3º trimestre 2018;Ensino médio incompleto ou equivalente;13645
Brasil;3º trimestre 2018;Ensino médio completo ou equivalente;46342
Brasil;3º trimestre 2018;Ensino superior incompleto ou equivalente;9008
Brasil;3º trimestre 2018;Ensino superior completo ou equivalente;22672
Brasil;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14775
Brasil;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;69451
Brasil;4º trimestre 2018;Ensino fundamental completo ou equivalente;15060
Brasil;4º trimestre 2018;Ensino médio incompleto ou equivalente;13460
Brasil;4º trimestre 2018;Ensino médio completo ou equivalente;46758
Brasil;4º trimestre 2018;Ensino superior incompleto ou equivalente;8913
Brasil;4º trimestre 2018;Ensino superior completo ou equivalente;23253
Brasil;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;13559
Brasil;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;68726
Brasil;1º trimestre 2019;Ensino fundamental completo ou equivalente;15386
Brasil;1º trimestre 2019;Ensino médio incompleto ou equivalente;13624
Brasil;1º trimestre 2019;Ensino médio completo ou equivalente;47748
Brasil;1º trimestre 2019;Ensino superior incompleto ou equivalente;9105
Brasil;1º trimestre 2019;Ensino superior completo ou equivalente;23841
Brasil;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;13985
Brasil;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;68864
Brasil;2º trimestre 2019;Ensino fundamental completo ou equivalente;15290
Brasil;2º trimestre 2019;Ensino médio incompleto ou equivalente;13627
Brasil;2º trimestre 2019;Ensino médio completo ou equivalente;47546
Brasil;2º trimestre 2019;Ensino superior incompleto ou equivalente;9219
Brasil;2º trimestre 2019;Ensino superior completo ou equivalente;23764
Brasil;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;14546
Brasil;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;68692
Brasil;3º trimestre 2019;Ensino fundamental completo ou equivalente;15089
Brasil;3º trimestre 2019;Ensino médio incompleto ou equivalente;13815
Brasil;3º trimestre 2019;Ensino médio completo ou equivalente;47576
Brasil;3º trimestre 2019;Ensino superior incompleto ou equivalente;8957
Brasil;3º trimestre 2019;Ensino superior completo ou equivalente;23947
Brasil;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;14821
Brasil;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;68153
Brasil;4º trimestre 2019;Ensino fundamental completo ou equivalente;15007
Brasil;4º trimestre 2019;Ensino médio incompleto ou equivalente;13492
Brasil;4º trimestre 2019;Ensino médio completo ou equivalente;48227
Brasil;4º trimestre 2019;Ensino superior incompleto ou equivalente;8995
Brasil;4º trimestre 2019;Ensino superior completo ou equivalente;24272
Brasil;1º trimestre 2020;Sem instrução e menos de 1 ano de estudo;13269
Brasil;1º trimestre 2020;Ensino fundamental incompleto ou equivalente;67314
Brasil;1º trimestre 2020;Ensino fundamental completo ou equivalente;15120
Brasil;1º trimestre 2020;Ensino médio incompleto ou equivalente;13561
Brasil;1º trimestre 2020;Ensino médio completo ou equivalente;49519
Brasil;1º trimestre 2020;Ensino superior incompleto ou equivalente;9443
Brasil;1º trimestre 2020;Ensino superior completo ou equivalente;25081
Brasil;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;14874
Brasil;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;64411
Brasil;2º trimestre 2022;Ensino fundamental completo ou equivalente;14934
Brasil;2º trimestre 2022;Ensino médio incompleto ou equivalente;14246
Brasil;2º trimestre 2022;Ensino médio completo ou equivalente;51859
Brasil;2º trimestre 2022;Ensino superior incompleto ou equivalente;8936
Brasil;2º trimestre 2022;Ensino superior completo ou equivalente;26957
Brasil;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;15543
Brasil;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;64207
Brasil;3º trimestre 2022;Ensino fundamental completo ou equivalente;14616
Brasil;3º trimestre 2022;Ensino médio incompleto ou equivalente;14125
Brasil;3º trimestre 2022;Ensino médio completo ou equivalente;51702
Brasil;3º trimestre 2022;Ensino superior incompleto ou equivalente;9176
Brasil;3º trimestre 2022;Ensino superior completo ou equivalente;27175
Brasil;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;15909
Brasil;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;63941
Brasil;4º trimestre 2022;Ensino fundamental completo ou equivalente;14514
Brasil;4º trimestre 2022;Ensino médio incompleto ou equivalente;14245
Brasil;4º trimestre 2022;Ensino médio completo ou equivalente;51756
Brasil;4º trimestre 2022;Ensino superior incompleto ou equivalente;8817
Brasil;4º trimestre 2022;Ensino superior completo ou equivalente;27702
Brasil;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;14932
Brasil;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;63435
Brasil;1º trimestre 2023;Ensino fundamental completo ou equivalente;14692
Brasil;1º trimestre 2023;Ensino médio incompleto ou equivalente;14400
Brasil;1º trimestre 2023;Ensino médio completo ou equivalente;52924
Brasil;1º trimestre 2023;Ensino superior incompleto ou equivalente;9043
Brasil;1º trimestre 2023;Ensino superior completo ou equivalente;27797
Brasil;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;15085
Brasil;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;63299
Brasil;2º trimestre 2023;Ensino fundamental completo ou equivalente;14703
Brasil;2º trimestre 2023;Ensino médio incompleto ou equivalente;14194
Brasil;2º trimestre 2023;Ensino médio completo ou equivalente;53215
Brasil;2º trimestre 2023;Ensino superior incompleto ou equivalente;9070
Brasil;2º trimestre 2023;Ensino superior completo ou equivalente;27980
Brasil;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;15524
Brasil;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;62784
Brasil;3º trimestre 2023;Ensino fundamental completo ou equivalente;14571
Brasil;3º trimestre 2023;Ensino médio incompleto ou equivalente;14149
Brasil;3º trimestre 2023;Ensino médio completo ou equivalente;53324
Brasil;3º trimestre 2023;Ensino superior incompleto ou equivalente;9088
Brasil;3º trimestre 2023;Ensino superior completo ou equivalente;28437
Brasil;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;15656
Brasil;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;62738
Brasil;4º trimestre 2023;Ensino fundamental completo ou equivalente;14586
Brasil;4º trimestre 2023;Ensino médio incompleto ou equivalente;13894
Brasil;4º trimestre 2023;Ensino médio completo ou equivalente;53552
Brasil;4º trimestre 2023;Ensino superior incompleto ou equivalente;8899
Brasil;4º trimestre 2023;Ensino superior completo ou equivalente;28882
Brasil;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;14203
Brasil;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;62444
Brasil;1º trimestre 2024;Ensino fundamental completo ou equivalente;14769
Brasil;1º trimestre 2024;Ensino médio incompleto ou equivalente;14154
Brasil;1º trimestre 2024;Ensino médio completo ou equivalente;54291
Brasil;1º trimestre 2024;Ensino superior incompleto ou equivalente;9295
Brasil;1º trimestre 2024;Ensino superior completo ou equivalente;29376
Brasil;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;14591
Brasil;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;62142
Brasil;2º trimestre 2024;Ensino fundamental completo ou equivalente;14720
Brasil;2º trimestre 2024;Ensino médio incompleto ou equivalente;14063
Brasil;2º trimestre 2024;Ensino médio completo ou equivalente;54490
Brasil;2º trimestre 2024;Ensino superior incompleto ou equivalente;9260
Brasil;2º trimestre 2024;Ensino superior completo ou equivalente;29582
Brasil;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;15054
Brasil;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;61970
Brasil;3º trimestre 2024;Ensino fundamental completo ou equivalente;14582
Brasil;3º trimestre 2024;Ensino médio incompleto ou equivalente;14137
Brasil;3º trimestre 2024;Ensino médio completo ou equivalente;54602
Brasil;3º trimestre 2024;Ensino superior incompleto ou equivalente;9145
Brasil;3º trimestre 2024;Ensino superior completo ou equivalente;29669
Brasil;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;14790
Brasil;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;61574
Brasil;4º trimestre 2024;Ensino fundamental completo ou equivalente;14221
Brasil;4º trimestre 2024;Ensino médio incompleto ou equivalente;13788
Brasil;4º trimestre 2024;Ensino médio completo ou equivalente;55874
Brasil;4º trimestre 2024;Ensino superior incompleto ou equivalente;8880
Brasil;4º trimestre 2024;Ensino superior completo ou equivalente;30331
Brasil;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;13209
Brasil;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;61075
Brasil;1º trimestre 2025;Ensino fundamental completo ou equivalente;14322
Brasil;1º trimestre 2025;Ensino médio incompleto ou equivalente;13692
Brasil;1º trimestre 2025;Ensino médio completo ou equivalente;57184
Brasil;1º trimestre 2025;Ensino superior incompleto ou equivalente;9286
Brasil;1º trimestre 2025;Ensino superior completo ou equivalente;30990
Brasil;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;13683
Brasil;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;60977
Brasil;2º trimestre 2025;Ensino fundamental completo ou equivalente;14234
Brasil;2º trimestre 2025;Ensino médio incompleto ou equivalente;14006
Brasil;2º trimestre 2025;Ensino médio completo ou equivalente;56256
Brasil;2º trimestre 2025;Ensino superior incompleto ou equivalente;9552
Brasil;2º trimestre 2025;Ensino superior completo ou equivalente;31334
Brasil;3º trimestre 2025;Sem instrução e menos de 1 ano de estudo;14050
Brasil;3º trimestre 2025;Ensino fundamental incompleto ou equivalente;61027
Brasil;3º trimestre 2025;Ensino fundamental completo ou equivalente;14032
Brasil;3º trimestre 2025;Ensino médio incompleto ou equivalente;13963
Brasil;3º trimestre 2025;Ensino médio completo ou equivalente;56114
Brasil;3º trimestre 2025;Ensino superior incompleto ou equivalente;9473
Brasil;3º trimestre 2025;Ensino superior completo ou equivalente;31667
Norte;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1471
Norte;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;6718
Norte;1º trimestre 2015;Ensino fundamental completo ou equivalente;1368
Norte;1º trimestre 2015;Ensino médio incompleto ou equivalente;1133
Norte;1º trimestre 2015;Ensino médio completo ou equivalente;3173
Norte;1º trimestre 2015;Ensino superior incompleto ou equivalente;521
Norte;1º trimestre 2015;Ensino superior completo ou equivalente;912
Norte;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1519
Norte;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;6698
Norte;2º trimestre 2015;Ensino fundamental completo ou equivalente;1331
Norte;2º trimestre 2015;Ensino médio incompleto ou equivalente;1154
Norte;2º trimestre 2015;Ensino médio completo ou equivalente;3172
Norte;2º trimestre 2015;Ensino superior incompleto ou equivalente;536
Norte;2º trimestre 2015;Ensino superior completo ou equivalente;906
Norte;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1580
Norte;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;6655
Norte;3º trimestre 2015;Ensino fundamental completo ou equivalente;1334
Norte;3º trimestre 2015;Ensino médio incompleto ou equivalente;1136
Norte;3º trimestre 2015;Ensino médio completo ou equivalente;3184
Norte;3º trimestre 2015;Ensino superior incompleto ou equivalente;550
Norte;3º trimestre 2015;Ensino superior completo ou equivalente;935
Norte;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1657
Norte;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;6658
Norte;4º trimestre 2015;Ensino fundamental completo ou equivalente;1221
Norte;4º trimestre 2015;Ensino médio incompleto ou equivalente;1149
